data_ref;cod_prestador;nome_prestador;nome_municipio_principal_prestador;uf_prestador;macro_regional_prestador;micro_regional_prestador;nome_municipio_principal_benef;uf_beneficiario;macro_regional_benef;micro_regional_benef;tipo_consulta;qtde_consultas;valor_consultas
2023_01;48008;HOSPITAL NOSSA SENHORA DA SAUDE;DOM SILVERIO;MG;LESTE DO SUL;PONTE NOVA;ALVINOPOLIS;MG;LESTE DO SUL;PONTE NOVA;URGENCIA;2;100,8
2023_01;48008;HOSPITAL NOSSA SENHORA DA SAUDE;DOM SILVERIO;MG;LESTE DO SUL;PONTE NOVA;BELO HORIZONTE;MG;CENTRO;BELO HORIZONTE;URGENCIA;1;50,4
2023_01;48008;HOSPITAL NOSSA SENHORA DA SAUDE;DOM SILVERIO;MG;LESTE DO SUL;PONTE NOVA;DOM SILVERIO;MG;LESTE DO SUL;PONTE NOVA;URGENCIA;44;2217,6
2023_01;48008;HOSPITAL NOSSA SENHORA DA SAUDE;DOM SILVERIO;MG;LESTE DO SUL;PONTE NOVA;SEM PEIXE;MG;LESTE DO SUL;PONTE NOVA;URGENCIA;4;201,6
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;ALFREDO VASCONCELOS;MG;CENTRO SUL;BARBACENA;URGENCIA;2;100,8
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;ANDRELANDIA;MG;SUDESTE;JUIZ DE FORA;URGENCIA;1;50,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;BELO HORIZONTE;MG;CENTRO;BELO HORIZONTE;URGENCIA;2;100,8
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;BOM SUCESSO;MG;OESTE;OLIVEIRA;URGENCIA;1;50,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;CONCEICAO DA BARRA DE MINAS;MG;CENTRO SUL;SAO JOAO DEL REI;URGENCIA;6;302,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;CONTAGEM;MG;CENTRO;CONTAGEM;URGENCIA;1;50,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;DORES DE CAMPOS;MG;CENTRO SUL;BARBACENA;URGENCIA;1;50,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;JUIZ DE FORA;MG;SUDESTE;JUIZ DE FORA;URGENCIA;1;50,4
2023_01;48035;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;LAGOA DOURADA;MG;CENTRO SUL;SAO JOAO DEL REI;URGENCIA;2;100,8
